tis	het+zijn	Pron(pers,3,sing)+V(fin,pres,aux_cop)
so	zo	adv(resum)
hebstu	hebben+du	V(fin,pres,aux_cop)+Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
het	het	Art(def)
leven	leven	V(infin)
genadig	genadig	adj()
weergegeven	wedergeven	V(participle,past)
wt	uit	Adp()
diep	diep	Adj()
'	?	punc(quest)
afgronden	afgrond	N(plu)
vander	de+van	art(def)+adp()
eirde	aarde	n(sing)
hebstu	hebben+du	V(fin,pres,aux_cop)+Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
opgericht	begerig	V(fin,pres,lex)
du	du	Pron(pers,2,sing)
hebst	hebben	V(fin,pres,aux_cop)
mijn	mijn	Pron(poss)
macht	macht	N(sing)
gesticht	stichten	V(participle,past)
ia	ja	interj()
du	du	pron(pers,2,sing)
salst	zullen	V(fin,pres,aux_cop)
my	ik	pron(pers,1,sing)
mijn	mijn	Pron(poss)
eer	eer	N(sing)
end	en	Conj(coord)
weirde	wolfshart	N(sing)
noch	noch	Conj(coord)
onglijck	ongelijk	adj()
grooter	groot	adj()
maecken	maken	N(plu)
end	en	Conj(coord)
dijnen	dijn	Pron(poss)
troost	troost	N(sing)
doen	doen	V(infin)
smaecken	smaken	V(infin)
dies	dat	pron(dem)
sal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
dy	du	Pron(pers,2,sing)
op	op	Adp()
mijne	mijn	Pron(poss)
snaren	snaar	N(plu)
dijn	dijn	pron(poss)
ware	zijn	v(fin,past,aux_cop)
trou	trouw	n(sing)
ter	de+te	art(def)+adp()
eer	eer	N(sing)
hooch	hoog	Adj()
loven	loven	V(infin)
lancx	lang	Adv(gener)
soo	zo	Adv(resum)
meer	meer	Num(indef)
du	du	pron(pers,2,sing)
heylich	heilig	adj()
'	?	punc(quest)
onder	onder	adp()
iacobs	jacob	n(prop)
scharen	schare	N(plu)
ick	ik	Pron(pers,1,sing)
wil	willen	V(fin,pres,aux_cop)
op	op	Adp()
mijner	mijn	Pron(poss)
luyten	luit	V(infin)
dijn	dijn	Pron(poss)
lofgesangen	lofzang	N(plu)
uyten	uit+de	N(sing)
mijn	mijn	Pron(poss)
lippen	lip	N(plu)
sullen	zullen	V(fin,pres,aux_cop)
sijn	zijn	v(infin)
verheuget	verheugen	v(participle,past)
als	als	Conj(subord)
ick	ik	Pron(pers,1,sing)
sal	zullen	V(fin,pres,aux_cop)
met	met	Adp()
gesanck	gezien	n(sing)
dy	du	pron(rel)
seggen	zeggen	v(infin)
lof	lof	N(sing)
end	en	Conj(coord)
danck	dank	N(sing)
end	en	Conj(coord)
mijne	mijn	Pron(poss)
siele	ziel	N(sing)
sal	zullen	v(fin,pres,aux_cop)
seer	zeer	adv(gener)
