carfuysel	karbonkel	N(prop)
cappen	kappen	N(plu)
en	en	Conj(coord)
choor	koor	Adj()
rocken	rokkenen	V(infin)
ghy	gij	Pron(pers,2,plu)
deed	doen	V(fin,past,lex)
ter	te+de	Art(def)+Adp()
noyt	nooit	N(sing)
me	mee	num(indef)
eenich	enig	Adj()
deught	deugd	v(fin,pres,lex)
men	men	pron(indef)
sal	zullen	v(fin,pres,aux_cop)
de	de	art(def)
bruyloft	bruiloft	N(sing)
spelen	spelen	V(infin)
wel	wel	adv(gener)
met	met	Adp()
trommelen	trommel	n(plu)
ende	en	conj(coord)
trompetten	trompet	n(plu)
casemirus	chimera	n(prop)
met	met	Adp()
goed	goed	adj()
opstel	opstel	n(sing)
sal	zullen	v(fin,pres,aux_cop)
al	al	adv(gener)
de	de	art(def)
spijs	spijs	N(sing)
op	op	adp()
tafel	tafel	n(sing)
setten	zetten	V(infin)
ghy	gij	Pron(pers,2,plu)
hebt	hebben	V(fin,pres,aux_cop)
ghebeyaert	???	V(participle,past)
lanck	lang	adj()
ter	de+te	art(def)+adp()
metten	de+met	art(def)+adp()
beyaert	bevaard	v(participle,past)
ny	niet	adv(neg)
voorts	voorts	Adv(gener)
u	gij	Pron(poss)
missen	mis	N(plu)
vuyt	kwijt	V(fin,pres,lex)
men	men	pron(indef)
schincket	schenken	V(fin,pres,lex)
u	gij	pron(pers,2,plu)
bier	bier	N(sing)
op	op	Adp()
u	uw	pron(poss)
bancketten	beschieten	N(plu)
en	en	Conj(coord)
dat	dat	pron(rel)
ter	de+te	art(def)+adp()
eeere	eer	n(sing)
van	van	adp()
de	de	art(def)
bruyt	bruid	N(sing)
ghy	gij	Pron(pers,2,plu)
monicken	monnik	N(plu)
grau	grauw	N(sing)
blau	blauw	adj()
wit	wit	adj()
en	een	art(indef)
swert	zweren	v(fin,pres,lex)
susters	zuster	n(sing)
nonnen	non	n(plu)
ende	en	conj(coord)
baghijnen	beginnen	v(infin)
ras	ras	n(sing)
neemt	nemen	V(fin,pres,lex)
den	de	Art(def)
korf	korf	N(sing)
en	ne	adv(neg)
gaet	gaan	v(fin,pres,lex)
ter	de+te	art(def)+adp()
mert	merren	N(sing)
dees	deze	Pron(dem)
bruyloft	bruiloft	N(sing)
wil	willen	V(fin,pres,aux_cop)
seer	zeer	Adv(gener)
bal	bal	N(sing)
verschijnen	verschijnen	V(infin)
comt	komen	V(fin,pres,lex)
ghy	gij	Pron(pers,2,plu)
paters	pater	N(sing)
van	van	Adp()
daugustijnen	avondstond+de	n(plu)
het	het	pron(pers,3,sing)
bonsche	bos	N(sing)
bier	bier	n(sing)
set	zetten	v(fin,pres,lex)
op	op	adp()
den	de	art(def)
dis	dat	Pron(dem)
ghy	gij	Pron(pers,2,plu)
satheroosen	bidden+ervoren	n(prop)
laet	laten	V(imp)
u	gij	Pron(pers,2,sing)
oock	ook	Adv(gener)
vijnen	vinden	V(infin)
maert	maar	Conj(coord)
tsmaeckt	het+maken	Pron(pers,3,sing)+V(fin,pres,lex)
seer	zeer	n(sing)
quaelijck	kwalijk	adv(gener)
op	op	adp()
den	de	art(def)
vis	vis	n(sing)
des	de	art(def)
bruygoms	bruiken	n(sing)
komst	komst	N(sing)
wort	worden	V(fin,pres,aux_cop)
wel	wel	adv(gener)
