verheuen	verheffen	v(participle,past)
apparoir	aan+porre	n(sing)
deuant	bevinden	n(sing)
tes	het+zijn	art(def)+adp()
yeux	ie	n(sing)
car	kaar	n(sing)
tousiours	torsioen	n(sing)
te	te	adp()
sont	sint	n(sing)
odieux	adieu	n(prop)
ceux	115	n(sing)
qui	zestien	adj()
prennent	prenten	n(sing)
plaisir	plaaster	n(prop)
a	a	n(sing)
faire	waaier	n(sing)
mauuais	meauce	n(prop)
affaire	affata?	n(prop)
ta	te	adp()
fureur	purper	adj()
perd	paard	n(sing)
extermine	experiment	n(sing)
finalement	lijnlaken	n(sing)
tous	dous	n(sing)
les	lezen	n(sing)
menteurs	deze+met	n(sing)
quand	kwaad	N(sing)
aux	af	n(sing)
meurtriers	moordenaar	n(sing)
decepteurs	december	n(prop)
celuy	145	n(sing)
qui	zestien	adv(gener)
terre	deze+te	pron(dem)+adp()
ciel	kiel	n(sing)
domine	dominus	n(sing)
les	lezen	n(sing)
abomine	ammoniet	n(sing)
maer	maar	Conj(coord)
deur	door	Adp()
v	uw	Pron(poss)
groote	groot	Adj()
deucht	deugd	N(sing)
ghepresen	prijzen	V(participle,past)
die	die	Pron(rel)
ghy	gij	Pron(pers,2,sing)
my	ik	Pron(pers,1,sing)
bewyst	bewijzen	V(fin,pres,lex)
sal	zullen	V(fin,pres,aux_cop)
ick	ik	Pron(pers,1,sing)
gaen	gaan	V(infin)
om	om	Adp()
v	gij	Pron(pers,2,plu)
mijn	mijn	Pron(poss)
godt	god	N(sing)
te	te	Adp()
roepen	roepen	V(infin)
aen	aan	Adp()
in	in	Adp()
v	uw	Pron(poss)
huys	huis	n(sing)
daer	daar	Adv(dem)
ick	ik	Pron(pers,1,sing)
sal	zullen	V(fin,pres,aux_cop)
deur	door	Adp()
desen	deze	Pron(dem)
godtvruchtich	gedachtig	N(sing)
wesen	wezen	v(infin)
gheen	geen	Pron(indef)
waerheyt	waarheid	N(sing)
en	en	Conj(coord)
spreken	spreken	V(infin)
haer	haar	Pron(poss)
monden	mond	N(plu)
haer	haar	Pron(poss)
herten	hart	N(plu)
syn	zijn	v(fin,pres,aux_cop)
erch	erg	n(sing)
als	als	Conj(comp)
fenyn	venijn	N(sing)
heur	hun	Pron(poss)
kelen	keel	N(plu)
open	open	Adj()
grauen	graven	N(plu)
syn	zijn	V(fin,pres,aux_cop)
heur	hun	Pron(poss)
tonghen	tong	N(plu)
syn	zijn	V(fin,pres,aux_cop)
tot	tot	Adp()
allen	al	num(indef)
stonden	stond	N(plu)
gheueyst	kruisigen	V(participle,past)
