terres	deze+te	pron(dem)+adp()
prouinces	proeving	n(sing)
instruction	instrument	v(infin)
a	a	n(sing)
ceste	geeste	n(sing)
heure	haar	n(sing)
prenez	prins	n(sing)
du	du	pron(pers,2,sing)
seigneur	seigneur	v(fin,pres,lex)
dieu	dief	art(def)
seruiteurs	servatius	n(sing)
rendezvous	kendebe's1us	n(sing)
craignez	kraaitje	n(sing)
son	zon	n(sing)
ire	haar	n(sing)
luy	luid	n(sing)
vueillez	vuil	adj()
complaire	complie	n(sing)
et	het	Art(def)
d	de	n(sing)
'	?	num(card)
estre	ester	n(sing)
a	a	n(sing)
luy	luid	n(sing)
vous	vos	n(sing)
resiouissez	rietmus	n(prop)
tous	dous	n(sing)
ayans	haman	n(prop)
tousiours	torsioen	n(sing)
crainte	kracht	n(sing)
de	de	Art(def)
luy	luid	N(sing)
desplaire	de+ezelin	n(sing)
den	de	Art(def)
soon	zoon	n(sing)
die	die	Pron(rel)
hy	hij	Pron(pers,3,sing)
v	gij	Pron(pers,2,plu)
seyndt	zenden	V(fin,pres,lex)
die	die	Pron(rel)
wilt	willen	V(fin,pres,aux_cop)
oock	ook	Adv(gener)
eeren	eer	V(infin)
dat	dat	Conj(subord)
hy	hij	Pron(pers,3,sing)
hem	hij	Pron(pers,3,sing)
niet	niet	Adv(neg)
en	ne	adv(neg)
stoore	storen	n(sing)
druckelyck	drukkelijk	adv(gener)
op	op	adp()
dat	dat	Conj(subord)
ghy	gij	Pron(pers,2,sing)
als	als	Conj(comp)
ghy	gij	Pron(pers,2,sing)
v	gij	Pron(pers,2,plu)
van	van	Adp()
hem	hij	Pron(pers,3,sing)
wilt	willen	V(fin,pres,aux_cop)
keeren	keren	V(infin)
niet	niet	Adv(neg)
en	en	Adv(neg)
vergaet	vergaan	V(fin,pres,lex)
seer	zeer	Adv(gener)
ongheluckelyck	ongelovig	Adv(gener)
want	want	Conj(coord)
onuerhuets	ongekwetst	adj()
sal	zullen	v(fin,pres,aux_cop)
synen	zijn	pron(poss)
tooren	toorn	v(infin)
heet	heten	V(fin,pres,aux_cop)
branden	branden	N(plu)
terstont	terstond	adv(gener)
eer	eer	conj(subord)
mens	het+men	pron(pers,3,sing)+pron(indef)
hem	hij	pron(pers,3,sing)
soude	zullen	v(fin,past,aux_cop)
wachten	wachten	v(infin)
och	och	interj()
hoe	hoe	adv(inter)
salich	zalig	adj()
sullen	zullen	v(fin,pres,aux_cop)
dan	dan	conj(comp)
syn	zijn	v(fin,pres,aux_cop)
ghereet	gereed	N(sing)
sy	zij	Pron(pers,3,plu)
die	de	Pron(rel)
gheheel	geheel	Adv(gener)
op	op	Adp()
syn	zijn	Pron(poss)
