hoort	horen	v(imp)
meucht	mogen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
blijven	blijven	V(infin)
al	al	Adv(gener)
voor	voor	Adp()
oostent	oosten	n(sing)
lieven	lief	Adj()
sey	zeggen	V(fin,pres,lex)
ick	ik	pron(pers,1,sing)
hebt	hebben	V(fin,pres,aux_cop)
verswooren	vermoren	V(infin)
adieu	adieu	Interj()
oostent	oosten	V(fin,pres,lex)
ons	wij	Pron(poss)
hooft	hoofd	N(sing)
is	zijn	v(fin,pres,aux_cop)
te	te	Adp()
groot	groot	adj()
men	men	pron(indef)
brant	brand	N(sing)
daer	daar	Adv(dem)
hooren	horen	V(infin)
wy	wij	Pron(pers,1,plu)
blijven	blijven	V(infin)
te	te	Adp()
gent	gent	N(sing)
al	al	Adv(gener)
is	zijn	v(fin,pres,aux_cop)
albertus	albertus	n(prop)
opgheblasen	ongeblaamd	V(participle,past)
met	met	Adp()
groot	groot	adj()
torment	torment	n(sing)
nu	nu	adv(dem)
crijcht	krijgen	v(fin,pres,lex)
hyt	hij+het	Pron(pers,3,sing)+Pron(pers,3,sing)
niet	niet	Adv(neg)
al	al	Adv(gener)
sou	zullen	V(fin,past,aux_cop)
hy	hij	Pron(pers,3,sing)
rasen	razen	V(infin)
met	met	Adp()
god	god	N(sing)
oostent	oosten	V(fin,pres,lex)
en	en	Conj(coord)
bidt	bidden	V(fin,pres,lex)
oock	ook	Adv(gener)
met	met	Adp()
een	een	Art(indef)
vast	vast	adj()
vertrouwen	vertrouwen	v(infin)
dits	dit+zijn	pron(dem)+v(fin,pres,aux_cop)
mijnen	mijn	pron(poss)
wins	wijn	N(sing)
voor	voor	Adp()
graef	graaf	N(sing)
maurits	maurits	N(prop)
van	van	Adp()
nassouwen	nassau	N(prop)
en	en	Conj(coord)
die	de	Pron(rel)
jonghen	jong	N(plu)
prins	prins	N(sing)
en	en	Conj(coord)
oock	ook	Adv(gener)
voor	voor	Adp()
de	de	Art(def)
staten	staat	N(plu)
der	de	Art(def)
landen	land	N(plu)
bidt	bidden	V(fin,pres,lex)
al	al	Adv(gener)
dat	dat	Pron(rel)
leeft	leven	v(fin,pres,lex)
datse	dat+zij	conj(subord)+pron(pers,3,plu)
god	god	N(sing)
in	in	adp()
goet	goed	adj()
verstanden	verstand	N(sing)
en	en	Conj(coord)
wijsheyt	wijsheid	N(sing)
